item_code,(箱)長cm,(箱)寬cm,(箱)高cm,max_comp_number
10034027001,35.0,20.0,13.0,24
10034029001,41.0,28.0,13.0,10
10034031001,37.0,25.0,22.0,10
10034032001,35.0,20.0,13.0,24
10034033001,42.0,28.0,24.0,5
10034034001,41.0,28.0,13.0,10
10034036001,35.0,20.0,11.0,28
10034039001,35.0,20.0,13.0,24
10034040001,40.0,28.0,24.0,5
10034041001,42.0,28.0,24.0,5
10034042001,34.0,20.0,11.0,28
10034043001,42.0,28.0,24.0,5
10034044001,44.0,28.0,24.0,5
10034045001,42.0,27.0,23.0,5
10034046001,37.0,21.0,31.0,8
10034047001,42.0,28.0,23.0,5
10034049001,32.0,19.0,31.0,9
10034050001,41.0,27.0,12.0,11
10034051001,42.0,28.0,24.0,5
10034057001,38.0,22.0,31.0,8
10034999001,34.0,20.0,11.0,28
10035001001,36.0,27.0,31.0,6
10035002001,36.0,24.0,31.0,7
10035003001,36.0,27.0,32.0,6
10035006001,35.0,20.0,11.0,28
10035009001,41.0,27.0,24.0,5
10035010001,41.0,28.0,23.0,5
10035011001,35.0,23.0,31.0,7
10035012001,41.0,28.0,25.0,5
10035013001,40.0,27.0,24.0,5
10035015001,41.0,27.0,12.0,11
10035017001,42.0,28.0,24.0,5
10035021001,41.0,27.0,24.0,5
10035024001,30.0,23.0,27.0,9
10035027001,40.0,27.0,24.0,5
10035028001,34.0,20.0,11.0,28
10035031001,38.0,25.0,23.0,9
10035033001,37.0,25.0,22.0,10
10035034001,34.0,20.0,11.0,28
10035035001,35.0,20.0,11.0,28
10035036001,39.0,26.0,24.0,9
10035037001,37.0,25.0,22.0,10
10035038001,37.0,25.0,22.0,10
10035040001,41.0,27.0,24.0,5
10035041001,41.0,27.0,10.0,13
10035046001,39.0,26.0,24.0,9
10035051001,41.0,27.0,13.0,10
10035052001,41.0,27.0,13.0,10
10040001001,36.0,27.0,32.0,6
10040002001,40.0,27.0,23.0,5
10040003001,35.0,27.0,30.0,6
10040004001,36.0,18.0,36.0,10
10040005001,41.0,27.0,24.0,5
10040006001,34.0,25.0,23.0,9
10040007001,28.0,22.0,22.0,16
10040008001,37.0,29.0,32.0,6
10040009001,37.0,28.0,32.0,6
10040010001,41.0,27.0,24.0,5
10040011001,36.0,29.0,25.0,7
10040012001,25.0,17.0,33.0,13
10040013001,36.0,25.0,15.0,15
10040014001,39.0,25.0,24.0,9
10040015001,30.0,22.0,25.0,10
10040016001,38.0,31.0,25.0,7
10040017001,34.0,25.0,31.0,7
10040018001,38.0,22.0,31.0,8
10040019001,35.0,18.0,35.0,10
10040020001,41.0,28.0,24.0,5
10040021001,38.0,25.0,21.0,10
10040022001,38.0,31.0,24.0,7
10040023001,37.0,30.0,26.0,6
10040024001,25.0,17.0,31.0,13
10040025001,34.0,17.0,35.0,10
10040026001,35.0,18.0,25.0,12
10040027001,36.0,30.0,20.0,9
10040028001,35.0,18.0,34.0,10
10040030001,37.0,27.0,31.0,6
10040031001,32.0,25.0,30.0,7
10040032001,36.0,24.0,19.0,14
10040033001,38.0,23.0,31.0,7
10040034001,40.0,28.0,25.0,5
10040035001,38.0,28.0,31.0,6
10040037001,36.0,18.0,35.0,10
10040038001,39.0,22.0,31.0,8
10040039001,36.0,18.0,35.0,10
10040040001,37.0,19.0,32.0,9
10040041001,37.0,25.0,18.0,12
10040042001,36.0,19.0,32.0,9
10040044001,34.0,25.0,25.0,9
10040048001,38.0,22.0,31.0,8
10040049001,36.0,18.0,37.0,10
